[2024-11-15 14:14:07,148] 18 networksecurity.logging.logger - INFO - Initiate the data ingestion
[2024-11-15 14:14:08,647] 72 networksecurity.logging.logger - INFO - Performed train test split on the dataframe
[2024-11-15 14:14:08,647] 74 networksecurity.logging.logger - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2024-11-15 14:14:08,647] 82 networksecurity.logging.logger - INFO - Exporting train and test file path.
[2024-11-15 14:14:08,749] 91 networksecurity.logging.logger - INFO - Exported train and test file path.
[2024-11-15 14:14:08,749] 20 networksecurity.logging.logger - INFO - Data Initiation completed
[2024-11-15 14:14:08,754] 25 networksecurity.logging.logger - INFO - Initiate the data validation 
[2024-11-15 14:14:08,816] 33 networksecurity.logging.logger - INFO - Required number of columns:2
[2024-11-15 14:14:08,816] 34 networksecurity.logging.logger - INFO - Data frame has columns:31
[2024-11-15 14:14:08,827] 33 networksecurity.logging.logger - INFO - Required number of columns:2
[2024-11-15 14:14:08,827] 34 networksecurity.logging.logger - INFO - Data frame has columns:31
[2024-11-15 14:14:08,948] 27 networksecurity.logging.logger - INFO - Data Validation Completed
[2024-11-15 14:14:08,948] 31 networksecurity.logging.logger - INFO - Data Transformation Started
[2024-11-15 14:14:08,948] 66 networksecurity.logging.logger - INFO - Entered initiate_data_transformation method of Data Transformation class
[2024-11-15 14:14:08,948] 68 networksecurity.logging.logger - INFO - Starting data transformation
[2024-11-15 14:14:08,976] 51 networksecurity.logging.logger - INFO - Entered get_data_transformer_object of DataTransformation class
[2024-11-15 14:14:08,980] 54 networksecurity.logging.logger - INFO - Initialize KNN imputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2024-11-15 14:14:08,988] 51 networksecurity.logging.logger - INFO - Entered the save_object method of MainUtils class
[2024-11-15 14:14:09,000] 55 networksecurity.logging.logger - INFO - Exited the save_object method of MainUtils class
[2024-11-15 14:14:09,001] 34 networksecurity.logging.logger - INFO - Data Transformation Completed
[2024-11-15 14:14:09,001] 37 networksecurity.logging.logger - INFO - Model Training Satrted
