[2024-11-15 14:14:38,555] 18 networksecurity.logging.logger - INFO - Initiate the data ingestion
[2024-11-15 14:14:39,992] 72 networksecurity.logging.logger - INFO - Performed train test split on the dataframe
[2024-11-15 14:14:39,992] 74 networksecurity.logging.logger - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2024-11-15 14:14:39,992] 82 networksecurity.logging.logger - INFO - Exporting train and test file path.
[2024-11-15 14:14:40,064] 91 networksecurity.logging.logger - INFO - Exported train and test file path.
[2024-11-15 14:14:40,066] 20 networksecurity.logging.logger - INFO - Data Initiation completed
[2024-11-15 14:14:40,081] 25 networksecurity.logging.logger - INFO - Initiate the data validation 
[2024-11-15 14:14:40,177] 33 networksecurity.logging.logger - INFO - Required number of columns:2
[2024-11-15 14:14:40,177] 34 networksecurity.logging.logger - INFO - Data frame has columns:31
[2024-11-15 14:14:40,177] 33 networksecurity.logging.logger - INFO - Required number of columns:2
[2024-11-15 14:14:40,182] 34 networksecurity.logging.logger - INFO - Data frame has columns:31
[2024-11-15 14:14:40,342] 27 networksecurity.logging.logger - INFO - Data Validation Completed
[2024-11-15 14:14:40,342] 31 networksecurity.logging.logger - INFO - Data Transformation Started
[2024-11-15 14:14:40,342] 66 networksecurity.logging.logger - INFO - Entered initiate_data_transformation method of Data Transformation class
[2024-11-15 14:14:40,342] 68 networksecurity.logging.logger - INFO - Starting data transformation
[2024-11-15 14:14:40,371] 51 networksecurity.logging.logger - INFO - Entered get_data_transformer_object of DataTransformation class
[2024-11-15 14:14:40,373] 54 networksecurity.logging.logger - INFO - Initialize KNN imputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2024-11-15 14:14:40,382] 51 networksecurity.logging.logger - INFO - Entered the save_object method of MainUtils class
[2024-11-15 14:14:40,386] 55 networksecurity.logging.logger - INFO - Exited the save_object method of MainUtils class
[2024-11-15 14:14:40,386] 34 networksecurity.logging.logger - INFO - Data Transformation Completed
[2024-11-15 14:14:40,391] 37 networksecurity.logging.logger - INFO - Model Training Satrted
