[2024-11-15 14:21:02,389] 18 networksecurity.logging.logger - INFO - Initiate the data ingestion
[2024-11-15 14:21:05,259] 72 networksecurity.logging.logger - INFO - Performed train test split on the dataframe
[2024-11-15 14:21:05,259] 74 networksecurity.logging.logger - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2024-11-15 14:21:05,259] 82 networksecurity.logging.logger - INFO - Exporting train and test file path.
[2024-11-15 14:21:05,429] 91 networksecurity.logging.logger - INFO - Exported train and test file path.
[2024-11-15 14:21:05,429] 20 networksecurity.logging.logger - INFO - Data Initiation completed
[2024-11-15 14:21:05,464] 25 networksecurity.logging.logger - INFO - Initiate the data validation 
[2024-11-15 14:21:05,603] 33 networksecurity.logging.logger - INFO - Required number of columns:2
[2024-11-15 14:21:05,603] 34 networksecurity.logging.logger - INFO - Data frame has columns:31
[2024-11-15 14:21:05,609] 33 networksecurity.logging.logger - INFO - Required number of columns:2
[2024-11-15 14:21:05,609] 34 networksecurity.logging.logger - INFO - Data frame has columns:31
[2024-11-15 14:21:06,123] 27 networksecurity.logging.logger - INFO - Data Validation Completed
[2024-11-15 14:21:06,123] 31 networksecurity.logging.logger - INFO - Data Transformation Started
[2024-11-15 14:21:06,123] 66 networksecurity.logging.logger - INFO - Entered initiate_data_transformation method of Data Transformation class
[2024-11-15 14:21:06,123] 68 networksecurity.logging.logger - INFO - Starting data transformation
[2024-11-15 14:21:06,181] 51 networksecurity.logging.logger - INFO - Entered get_data_transformer_object of DataTransformation class
[2024-11-15 14:21:06,189] 54 networksecurity.logging.logger - INFO - Initialize KNN imputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2024-11-15 14:21:06,214] 51 networksecurity.logging.logger - INFO - Entered the save_object method of MainUtils class
[2024-11-15 14:21:06,223] 55 networksecurity.logging.logger - INFO - Exited the save_object method of MainUtils class
[2024-11-15 14:21:06,229] 34 networksecurity.logging.logger - INFO - Data Transformation Completed
[2024-11-15 14:21:06,229] 37 networksecurity.logging.logger - INFO - Model Training Satrted
[2024-11-15 14:24:48,638] 51 networksecurity.logging.logger - INFO - Entered the save_object method of MainUtils class
[2024-11-15 14:24:48,638] 55 networksecurity.logging.logger - INFO - Exited the save_object method of MainUtils class
[2024-11-15 14:24:48,638] 101 networksecurity.logging.logger - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\11_15_2024_14_20_55\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.990894374747066), precision_score=np.float64(0.9876966518757564), recall_score=np.float64(0.9941128704831507)), test_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9786376461104394), precision_score=np.float64(0.9712), recall_score=np.float64(0.9861900893582454)))
[2024-11-15 14:24:48,644] 41 networksecurity.logging.logger - INFO - Model training artifact created
