[2024-11-15 14:41:07,779] 18 networksecurity.logging.logger - INFO - Initiate the data ingestion
[2024-11-15 14:41:09,289] 72 networksecurity.logging.logger - INFO - Performed train test split on the dataframe
[2024-11-15 14:41:09,289] 74 networksecurity.logging.logger - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2024-11-15 14:41:09,289] 82 networksecurity.logging.logger - INFO - Exporting train and test file path.
[2024-11-15 14:41:09,392] 91 networksecurity.logging.logger - INFO - Exported train and test file path.
[2024-11-15 14:41:09,392] 20 networksecurity.logging.logger - INFO - Data Initiation completed
[2024-11-15 14:41:09,403] 25 networksecurity.logging.logger - INFO - Initiate the data validation 
[2024-11-15 14:41:09,459] 33 networksecurity.logging.logger - INFO - Required number of columns:2
[2024-11-15 14:41:09,459] 34 networksecurity.logging.logger - INFO - Data frame has columns:31
[2024-11-15 14:41:09,459] 33 networksecurity.logging.logger - INFO - Required number of columns:2
[2024-11-15 14:41:09,459] 34 networksecurity.logging.logger - INFO - Data frame has columns:31
[2024-11-15 14:41:09,579] 27 networksecurity.logging.logger - INFO - Data Validation Completed
[2024-11-15 14:41:09,579] 31 networksecurity.logging.logger - INFO - Data Transformation Started
[2024-11-15 14:41:09,579] 66 networksecurity.logging.logger - INFO - Entered initiate_data_transformation method of Data Transformation class
[2024-11-15 14:41:09,579] 68 networksecurity.logging.logger - INFO - Starting data transformation
[2024-11-15 14:41:09,600] 51 networksecurity.logging.logger - INFO - Entered get_data_transformer_object of DataTransformation class
[2024-11-15 14:41:09,600] 54 networksecurity.logging.logger - INFO - Initialize KNN imputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2024-11-15 14:41:09,609] 51 networksecurity.logging.logger - INFO - Entered the save_object method of MainUtils class
[2024-11-15 14:41:09,609] 55 networksecurity.logging.logger - INFO - Exited the save_object method of MainUtils class
[2024-11-15 14:41:09,609] 34 networksecurity.logging.logger - INFO - Data Transformation Completed
[2024-11-15 14:41:09,609] 37 networksecurity.logging.logger - INFO - Model Training Satrted
[2024-11-15 14:43:53,713] 51 networksecurity.logging.logger - INFO - Entered the save_object method of MainUtils class
[2024-11-15 14:43:53,713] 55 networksecurity.logging.logger - INFO - Exited the save_object method of MainUtils class
[2024-11-15 14:43:53,713] 123 networksecurity.logging.logger - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\11_15_2024_14_41_05\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9910985231640704), precision_score=np.float64(0.9877016129032258), recall_score=np.float64(0.9945188794153471)), test_metric_artifact=ClassificationMetricArtifact(f1_score=np.float64(0.9752736116740981), precision_score=np.float64(0.9733009708737864), recall_score=np.float64(0.9772542648253453)))
[2024-11-15 14:43:53,730] 41 networksecurity.logging.logger - INFO - Model training artifact created
